DoAr_16   (246.29377864281386,-23.320848470234925)   (246.29375459029004,-23.32085511419157)   (246.2937902000834,-23.32088189777654)   (246.29376038646888,-23.320825461704004)   
DoAr_33   (246.91258085347874,-23.971975308119195)   (246.91257893863147,-23.971974693905235)   (246.91256346059558,-23.971985035604906)   (246.91257007035796,-23.97197456328799)   
YLW_8   (246.79286351264938,-24.320284099408877)   (246.79285831447672,-24.320280332422765)   (246.7928503956922,-24.320300794865844)   (246.79287298521638,-24.3202900443851)   
GSS_39   (246.68764276970623,-24.385623104748273)   (246.68764906490486,-24.385601986130112)   (246.68765091104177,-24.38562980360096)   (246.68764904369465,-24.385630704503267)   
DoAr_24E   (246.59740085517345,-24.349992536327886)   (246.59789612896648,-24.350270954664378)   (246.59973614275165,-24.352167759158313)   (246.59794529654894,-24.350319985653275)   
AS_206   (246.4840470515328,-24.346830344008175)   (246.48403338713732,-24.34683612436556)   (246.4840282720614,-24.3468383294274)   (246.4840134725608,-24.34684759993942)   
GSS_26   (246.54301575428377,-24.348696743151905)   (246.54301858773903,-24.348686203634863)   (246.5430222674919,-24.34871093680872)   (246.5430143972393,-24.348697335252865)
WSB_31   (246.60036221780865,-24.270487581966666)   (246.6003551478406,-24.270492506373834)   (246.60037003638408,-24.27050518887514)   (246.6003818631319,-24.270484078950844)   
VSSG_1   (246.57865349231562,-24.472250326079436)   (246.57866609751278,-24.4722402049604)   (246.5786857149014,-24.472284651864967)   (246.57869244753493,-24.47224454873772)   
DoAr_25   (246.59869949707485,-24.72062351397507)   (246.59869451254403,-24.72062281834972)   (246.59874355784166,-24.720627387389033)   (246.59873445137427,-24.720618372602036)   
IRS_37   (246.8231755523415,-24.481933133666335)   (246.82585052981608,-24.484827755799856)   (246.82458689598465,-24.485194438879123)   (246.82277391184923,-24.48167098611408)   
IRS_41   (246.82999948476743,-24.47901852749368)   (246.83002090457578,-24.479011947232856)   (0.0,0.0)   (0.0,0.0) 
IRS_51   (246.91590551623193,-24.72101072082721)   (246.91588724716598,-24.721022361590098)   (246.9159146617835,-24.7210122234118)   (246.91589447768922,-24.72099692220285)
IRS_39   (246.8239964326988,-24.48299007202676)   (246.82981912433434,-24.488709188503897)
YLW_47   (246.90970597062994,-24.61638940224156)   (246.90970649892466,-24.616409810985346)   (246.90970234850104,-24.61635228554268)   (246.9096697912877,-24.6163715448495)   
WSB_60   (247.0688271913226,-24.6162430663679)   (247.068815576771,-24.616239777491955)   (247.06880364259334,-24.616217043751043)   (247.06878987917204,-24.61621142381089)   
HBC_266   (247.18864349531168,-24.472059950319203)   (247.18865727168716,-24.472059885976883)   (247.18863687757383,-24.472043598891045)   (247.18862149523844,-24.472046156055463)   
DoAr_44   (247.88945357587784,-24.460429228783713)  (247.8894134234506,-24.460475320642246)   (247.88944416336093,-24.46043386678708)   (247.8894381577782,-24.460456886453432)   
